nomes,idade,cidade,estado,cpf,cnpj,cpf_status,cnpj_status
Kimberly Dean,66,Acorizal,MT,03935289103,37441721894490,Valido,Valido
Tricia Stewart,80,Abaetetuba,PA,15475496374,58061159560908,Valido,Valido
Lee Diaz,53,Água Branca,PB,90017057400,28743819050696,Valido,Valido
Erika Jones,55,Abreu E Lima,PE,96212009384,18353541643752,Valido,Valido
Suzanne Haynes,64,Acauã,PI,37347981328,03189333408440,Valido,Valido
David Sullivan,78,Abatiá,PR,57912733809,21334322690577,Valido,Valido
Katherine Petersen,45,Angra Dos Reis,RJ,05320622210,84809951168463,Valido,Valido
Laura Jones,65,Acari,RN,71283276658,69199078485411,Valido,Valido
Melissa Krueger,27,Alta Floresta D'oeste,RO,92457195292,77721716330242,Valido,Valido
Jennifer Evans,50,Amajari,RR,75331796176,50783903982536,Valido,Valido
David Martinez,84,Aceguá,RS,23664728971,78098409055839,Valido,Valido
Kayla Graham,86,Abdon Batista,SC,37307454335,22840173904726,Valido,Valido
Catherine Hansen,20,Amparo De São Francisco,SE,19492447843,55418218223534,Valido,Valido
Dennis Hill,75,Adamantina,SP,80650888723,93156768284499,Valido,Valido
Patrick Thompson,75,Abreulândia,TO,39537474879,61562291935812,Valido,Valido
Tammy Cole,23,Acrelândia,AC,04937191217,98990166718120,Valido,Valido
Deborah Benson,81,Água Branca,AL,15059522393,35448500643173,Valido,Valido
Sean Simpson,30,Alvarães,AM,18453924341,22853711716120,Valido,Valido
Elizabeth Henderson,29,Serra Do Navio,AP,44325873775,24837962171566,Valido,Valido
Jerry Nelson,62,Abaíra,BA,39878683176,37840497501610,Valido,Valido
Mary Singleton,90,Abaiara,CE,44562320486,63709149531011,Valido,Valido
Miguel Young,85,Brasília,DF,45066920129,44876718708505,Valido,Valido
Karen Goodwin,56,Afonso Cláudio,ES,28819446987,00351134565847,Valido,Valido
Becky Velasquez,53,Abadia De Goiás,GO,42743773189,46978981516208,Valido,Valido
Brett Garcia,38,Açailândia,MA,57551645098,08574473031255,Valido,Valido
Natasha Christian,42,Abadia Dos Dourados,MG,21065316640,26961538529610,Valido,Valido
Julie Sweeney,20,Água Clara,MS,15527018168,95129101444136,Valido,Valido
Stephanie Ortiz,25,Acorizal,MT,20966390423,52662190810027,Valido,Valido
Monica Valdez,49,Abaetetuba,PA,31444021761,65771647819110,Valido,Valido
Robert Leblanc,59,Água Branca,PB,71838070702,68985537250112,Valido,Valido
Charles Wiggins,37,Abreu E Lima,PE,10946495033,07306323102235,Valido,Valido
Donald Cox,51,Acauã,PI,55427011919,49394698718865,Valido,Valido
Kenneth Craig,52,Abatiá,PR,90941491501,85806093864373,Valido,Valido
Leonard Adams,89,Angra Dos Reis,RJ,30162828799,23912564578289,Valido,Valido
Emily Ochoa,53,Acari,RN,97957671438,15256239155050,Valido,Valido
Beth Ramos,86,Alta Floresta D'oeste,RO,89693780736,02351381917570,Valido,Valido
Christopher Williams,24,Amajari,RR,93671952300,65587684994927,Valido,Valido
Mary Mullen,25,Aceguá,RS,39815487795,22132211321260,Valido,Valido
Thomas Lyons,25,Abdon Batista,SC,30667276025,20081015904895,Valido,Valido
Anthony Kim,54,Amparo De São Francisco,SE,20350469393,63967105842259,Valido,Valido
Tiffany Miller,71,Adamantina,SP,38448111680,39694126565243,Valido,Valido
Margaret Hernandez,69,Abreulândia,TO,30095418563,69983423210730,Valido,Valido
Brandi Vazquez,85,Acrelândia,AC,70318907569,63004080801427,Valido,Valido
Kenneth West,89,Água Branca,AL,85490153342,22754185274963,Valido,Valido
Amy Flores,57,Alvarães,AM,59161193569,69936040468555,Valido,Valido
Jessica Reed,26,Serra Do Navio,AP,12076271945,73749294021391,Valido,Valido
Nicholas Young,79,Abaíra,BA,39672270577,66616335547502,Valido,Valido
Mary Ward,76,Abaiara,CE,13249093408,53080372953325,Valido,Valido
Brett Huber,63,Brasília,DF,23294804237,35050192734943,Valido,Valido
William Mills,63,Afonso Cláudio,ES,09982289748,15540745985001,Valido,Valido
Jennifer Price,32,Abadia De Goiás,GO,30486264254,90652802232894,Valido,Valido
Kelly Green,26,Açailândia,MA,34618313790,56707716346998,Valido,Valido
Benjamin Evans,72,Abadia Dos Dourados,MG,15241418016,26690643184908,Valido,Valido
Andrea Klein,46,Água Clara,MS,16679195470,97611296012044,Valido,Valido
Shane Scott,20,Acorizal,MT,62728048142,78736155126874,Valido,Valido
Joseph Brown,29,Abaetetuba,PA,54813026320,23878106172487,Valido,Valido
David Hamilton,85,Água Branca,PB,18905202179,01477431168716,Valido,Valido
Kyle David,18,Abreu E Lima,PE,37761469407,12557523988363,Valido,Valido
Samantha Rojas,74,Acauã,PI,03249910104,87915072666439,Valido,Valido
Joshua Roman,32,Abatiá,PR,70557855705,79738103427670,Valido,Valido
Travis Romero,19,Angra Dos Reis,RJ,85685407408,76433149498604,Valido,Valido
Susan Singh,29,Acari,RN,66172668030,99958520600010,Valido,Valido
Gabriella Morales,60,Alta Floresta D'oeste,RO,56174761061,50966294597215,Valido,Valido
Kylie Simmons,80,Amajari,RR,53878919999,99717481059945,Valido,Valido
Barry Holland,49,Aceguá,RS,84367596567,09650920480318,Valido,Valido
Timothy Williamson,37,Abdon Batista,SC,51414694920,83783583570208,Valido,Valido
Susan Smith,25,Amparo De São Francisco,SE,47747040911,04170122667602,Valido,Valido
Rick Ortiz,54,Adamantina,SP,95532953120,55259043289668,Valido,Valido
Wayne Herrera,36,Abreulândia,TO,62673608222,34025063423503,Valido,Valido
Lisa Gibson,34,Acrelândia,AC,71505156068,00652734816511,Valido,Valido
Jennifer Evans,25,Água Branca,AL,92094984613,43427606380606,Valido,Valido
Heather Brown,62,Alvarães,AM,01295898454,99823808707809,Valido,Valido
Allison Robinson,84,Serra Do Navio,AP,94837667376,25619083634300,Valido,Valido
Amanda Hoover,35,Abaíra,BA,62762116058,58251657988786,Valido,Valido
David Campos,44,Abaiara,CE,28844510642,67557131605489,Valido,Valido
Frances Gross,65,Brasília,DF,34521210627,78742681052380,Valido,Valido
Matthew Dunn,23,Afonso Cláudio,ES,21219758450,57150746044651,Valido,Valido
John Hill,73,Abadia De Goiás,GO,50481439145,80844160135752,Valido,Valido
Melvin Cordova,81,Açailândia,MA,29542268467,24076086795890,Valido,Valido
Rebecca Smith,21,Abadia Dos Dourados,MG,08369965504,37664084053700,Valido,Valido
Jeffrey Brown,58,Água Clara,MS,12599398207,59311271244913,Valido,Valido
Amber Smith,89,Acorizal,MT,06768161857,69079632478641,Valido,Valido
Rebecca Clay,62,Abaetetuba,PA,18731098657,99602610291429,Valido,Valido
Timothy Hawkins,31,Água Branca,PB,26823790873,97473391804553,Valido,Valido
Dalton Hudson,62,Abreu E Lima,PE,12015551328,81010269044522,Valido,Valido
Jon Rodriguez,71,Acauã,PI,52497815275,46466785562434,Valido,Valido
April Young,23,Abatiá,PR,37028542238,51543711815619,Valido,Valido
James Lewis,62,Angra Dos Reis,RJ,86052993804,94530908112897,Valido,Valido
Philip King,30,Acari,RN,63168714143,49770578801712,Valido,Valido
Samantha Taylor,73,Alta Floresta D'oeste,RO,50443753652,91569473704728,Valido,Valido
Brenda Walker,32,Amajari,RR,35651581073,36919751801598,Valido,Valido
Angela Williams,59,Aceguá,RS,82219447855,76313140327938,Valido,Valido
Ricky May,55,Abdon Batista,SC,63154470158,94858835402199,Valido,Valido
Gerald Hart,42,Amparo De São Francisco,SE,03508477118,49099478338224,Valido,Valido
Connie Cunningham,51,Adamantina,SP,20432408975,58040061049927,Valido,Valido
Luis Harmon,59,Abreulândia,TO,13915989975,70620557054383,Valido,Valido
Christine Coleman,65,Acrelândia,AC,55840569011,23831553312169,Valido,Valido
Peter Horn,80,Água Branca,AL,67080015430,48267034737311,Valido,Valido
Gerald Romero,18,Alvarães,AM,96422339160,29841878691452,Valido,Valido
Peter Smith,20,Serra Do Navio,AP,15930753750,83585267754969,Valido,Valido
Sandra Madden,53,Abaíra,BA,68412243617,82071546568056,Valido,Valido
George Faulkner,37,Abaiara,CE,81322071900,73407005301140,Valido,Valido
Christopher Lang,54,Brasília,DF,02560584077,86022534318223,Valido,Valido
Charles James,87,Afonso Cláudio,ES,99795884204,64215362516405,Valido,Valido
Amy Moody,57,Abadia De Goiás,GO,50074155539,08834313254418,Valido,Valido
Colleen West,83,Açailândia,MA,44785302623,17975178771076,Valido,Valido
Richard Keller,21,Abadia Dos Dourados,MG,38887631859,77591942384429,Valido,Valido
Mary Smith,40,Água Clara,MS,23946952429,85016900958170,Valido,Valido
Joseph Patel,18,Acorizal,MT,64449664779,36637188065761,Valido,Valido
Michael Mendoza,49,Abaetetuba,PA,22548698092,60851521356957,Valido,Valido
Dillon Edwards,70,Água Branca,PB,83205685792,79941658129606,Valido,Valido
Jon Olson,53,Abreu E Lima,PE,11499377770,93504099442401,Valido,Valido
Linda Johnson,89,Acauã,PI,65116458199,49856466204853,Valido,Valido
Alex Jackson,39,Abatiá,PR,97836921867,44723566852970,Valido,Valido
Brianna Morrison,58,Angra Dos Reis,RJ,13202062476,57373594196162,Valido,Valido
Rachel Carrillo,29,Acari,RN,57332289385,63360747443404,Valido,Valido
Sean Warren,22,Alta Floresta D'oeste,RO,58202416736,80254147184019,Valido,Valido
Debra Smith,82,Amajari,RR,14079622058,14835687397138,Valido,Valido
Lindsey Middleton,87,Aceguá,RS,89436323123,55991868562000,Valido,Valido
James Swanson,86,Abdon Batista,SC,66006539306,25579031094301,Valido,Valido
Christopher Collins,48,Amparo De São Francisco,SE,60023456043,66410607332827,Valido,Valido
Megan Gonzalez,72,Adamantina,SP,14891133392,42782543979227,Valido,Valido
Kaylee Livingston,51,Abreulândia,TO,42577998112,14272911381550,Valido,Valido
Michele Hall,49,Acrelândia,AC,33050532327,56436760398978,Valido,Valido
Karen Ortiz,40,Água Branca,AL,24113082057,18996221325778,Valido,Valido
Willie Matthews,25,Alvarães,AM,70152446834,19830275269554,Valido,Valido
Sara Stewart,20,Serra Do Navio,AP,75531766483,23795083317275,Valido,Valido
Natalie Marshall,52,Abaíra,BA,77603663296,67465053046221,Valido,Valido
Cassandra Boyer,64,Abaiara,CE,43430769035,37421778144348,Valido,Valido
Kimberly Dixon,36,Brasília,DF,25395977775,79968693273566,Valido,Valido
Heather Martinez,27,Afonso Cláudio,ES,41417947160,18292940840661,Valido,Valido
Michael Castillo,40,Abadia De Goiás,GO,46531141298,88266738839120,Valido,Valido
Donald Butler,69,Açailândia,MA,37104512217,86124764855630,Valido,Valido
John Buckley,22,Abadia Dos Dourados,MG,52713401127,04664013031186,Valido,Valido
Stacy Burns,37,Água Clara,MS,71321635583,16971133795326,Valido,Valido
Tara Bryant,90,Acorizal,MT,29444307425,42541054867728,Valido,Valido
Sandra Zimmerman,66,Abaetetuba,PA,27603675413,49004646544403,Valido,Valido
Joel Mann,43,Água Branca,PB,10360612130,09479412769220,Valido,Valido
William Stevenson,88,Abreu E Lima,PE,75814519509,55768446372700,Valido,Valido
Wendy Lutz,32,Acauã,PI,89607391705,72842501432263,Valido,Valido
Daniel Cook,44,Abatiá,PR,12122089270,56744541431910,Valido,Valido
Diana Cooper,77,Angra Dos Reis,RJ,93411377488,09293359073648,Valido,Valido
Emily Mitchell,53,Acari,RN,65790307205,01960108628554,Valido,Valido
Jean Russell,68,Alta Floresta D'oeste,RO,26567209402,82840330033759,Valido,Valido
Brian Davenport,70,Amajari,RR,72810658331,42070529361817,Valido,Valido
Mary Carpenter,64,Aceguá,RS,94942552087,86393900304977,Valido,Valido
Jacqueline Marshall,35,Abdon Batista,SC,54892504297,74504973507347,Valido,Valido
Andrew Hall,41,Amparo De São Francisco,SE,85227651205,37422504191371,Valido,Valido
Brenda Garcia,18,Adamantina,SP,84146613949,21750983621697,Valido,Valido
Gene Mejia,74,Abreulândia,TO,36916062533,10789614989109,Valido,Valido
Rachel Jackson,63,Acrelândia,AC,71208752723,81995833787808,Valido,Valido
Erik Arnold,28,Água Branca,AL,52388997429,67879078290261,Valido,Valido
Megan White,38,Alvarães,AM,91658257308,80805162969676,Valido,Valido
Barbara Becker,48,Serra Do Navio,AP,86303101461,57170905610383,Valido,Valido
Jamie Lutz,46,Abaíra,BA,53065604825,22462061473435,Valido,Valido
Donna Hart,83,Abaiara,CE,87881614390,52790883451275,Valido,Valido
Thomas Wallace,58,Brasília,DF,99374520583,71410192566903,Valido,Valido
Shari Meyers,43,Afonso Cláudio,ES,02532896450,08846239546825,Valido,Valido
Heather Charles,70,Abadia De Goiás,GO,63692802595,60173087387963,Valido,Valido
Michelle Anderson,31,Açailândia,MA,53296353909,24280579015345,Valido,Valido
Michelle Kaufman,33,Abadia Dos Dourados,MG,42290975737,29056267036292,Valido,Valido
Jennifer Ramirez,30,Água Clara,MS,94496575051,10721199636313,Valido,Valido
Lindsay Meyer,26,Acorizal,MT,86767702803,37238940844020,Valido,Valido
Carolyn Ross,52,Abaetetuba,PA,61391209265,70842699129077,Valido,Valido
Stephanie Sanchez,69,Água Branca,PB,61032578084,79114525543152,Valido,Valido
Cynthia Mccarty,26,Abreu E Lima,PE,36805983274,89260394268603,Valido,Valido
James White,19,Acauã,PI,16672776850,83500581935440,Valido,Valido
Timothy Miller,30,Abatiá,PR,35637391378,94815814298607,Valido,Valido
Amy Wells,58,Angra Dos Reis,RJ,80861337379,36735594908527,Valido,Valido
Felicia Williams,52,Acari,RN,70432516050,25209341662669,Valido,Valido
Scott Nguyen,85,Alta Floresta D'oeste,RO,66444347700,81571979297063,Valido,Valido
Scott Miller,30,Amajari,RR,24733856709,84374951155823,Valido,Valido
Kenneth Robinson,65,Aceguá,RS,89046447049,03478327713125,Valido,Valido
Karen Reynolds,34,Abdon Batista,SC,98724348406,98991467840569,Valido,Valido
Anna Martinez,51,Amparo De São Francisco,SE,76517173099,46466100775607,Valido,Valido
Theresa Fisher,83,Adamantina,SP,76335541696,12379934989540,Valido,Valido
James Joyce,86,Abreulândia,TO,35365209605,10913441117400,Valido,Valido
Richard Yang,44,Acrelândia,AC,86693865933,64092875512128,Valido,Valido
Drew Medina,46,Água Branca,AL,37909777051,82139415227150,Valido,Valido
Dawn Mendoza,65,Alvarães,AM,60478943997,72044507860335,Valido,Valido
David Coffey,37,Serra Do Navio,AP,08073044331,30821708913650,Valido,Valido
Victoria Cox,58,Abaíra,BA,56123358812,10188695685567,Valido,Valido
Kristine Smith,37,Abaiara,CE,94352041556,96593586407060,Valido,Valido
Charles Campbell,19,Brasília,DF,10527615269,75223094530557,Valido,Valido
Steve Howard,50,Afonso Cláudio,ES,85984138107,01807173611307,Valido,Valido
Robert Miller,86,Abadia De Goiás,GO,06069608305,84160746136488,Valido,Valido
Amy Fletcher,90,Açailândia,MA,36841136705,06225001796535,Valido,Valido
Robert Smith,33,Abadia Dos Dourados,MG,48612252210,73970589644447,Valido,Valido
David Smith,29,Água Clara,MS,11160111820,35986831796400,Valido,Valido
Mario Golden,23,Acorizal,MT,76117023600,85004727235750,Valido,Valido
Christopher Garcia,23,Abaetetuba,PA,66727071314,16037346820673,Valido,Valido
Matthew Williams,79,Água Branca,PB,78819373351,94227876864121,Valido,Valido
Pamela Stephens,25,Abreu E Lima,PE,11886300593,11244019369608,Valido,Valido
Laura Adams,23,Acauã,PI,73813087204,53209356694270,Valido,Valido
Timothy Phillips,24,Abatiá,PR,58307952301,40062912787960,Valido,Valido
Vickie Taylor,86,Angra Dos Reis,RJ,72511347725,00301079095809,Valido,Valido
Geoffrey Cox,63,Acari,RN,39495002354,61553700387183,Valido,Valido
Tony Thomas,21,Alta Floresta D'oeste,RO,74086187590,12867923471917,Valido,Valido
Natasha Beck,47,Amajari,RR,72159394483,78697920194709,Valido,Valido
Charles Gregory,40,Aceguá,RS,18384538492,94442141560596,Valido,Valido
David Dawson,77,Abdon Batista,SC,63573089356,89102981044644,Valido,Valido
John Lee,87,Amparo De São Francisco,SE,19924384555,94101059483080,Valido,Valido
Justin Mcgee,61,Adamantina,SP,22963567022,95968476447296,Valido,Valido
Austin Norris,21,Abreulândia,TO,65221301733,94121418289257,Valido,Valido
Shawn Ramos,26,Acrelândia,AC,06904709324,89644813959514,Valido,Valido
Robert Ramirez,51,Água Branca,AL,78737313169,35261783387801,Valido,Valido
Justin Davis,19,Alvarães,AM,22963328460,05725613054706,Valido,Valido
Kristy Black,78,Serra Do Navio,AP,21682446344,26577962931820,Valido,Valido
Tracy Gonzalez,29,Abaíra,BA,65675158057,54721137323508,Valido,Valido
Rebecca Morrison,25,Abaiara,CE,95675936807,41691759616766,Valido,Valido
Alexa Mills,19,Brasília,DF,31294817531,67435238491505,Valido,Valido
Megan Sparks,78,Afonso Cláudio,ES,06574351472,99985825290402,Valido,Valido
Molly Martinez,40,Abadia De Goiás,GO,29585573750,57703010361634,Valido,Valido
Cristina Bridges,77,Açailândia,MA,48938459772,78853911817406,Valido,Valido
Michael Hughes,89,Abadia Dos Dourados,MG,36223959230,87198190409900,Valido,Valido
Roberto Sullivan,33,Água Clara,MS,92535134705,66050176651000,Valido,Valido
Brooke Bryant,68,Acorizal,MT,04073413902,98326502117807,Valido,Valido
Kathy Franklin,54,Abaetetuba,PA,17514994998,81567087702376,Valido,Valido
Diane Lee,19,Água Branca,PB,66085615477,18190326658114,Valido,Valido
Kim Adams,28,Abreu E Lima,PE,21938290399,94643792997560,Valido,Valido
Laura Tucker,20,Acauã,PI,29402702520,77241110589378,Valido,Valido
Christina Roth,87,Abatiá,PR,16628302709,78639552442665,Valido,Valido
Angel Lopez,34,Angra Dos Reis,RJ,44479147780,05299314902359,Valido,Valido
Lisa Robertson,83,Acari,RN,59550371360,87844051558073,Valido,Valido
Mary Garcia,66,Alta Floresta D'oeste,RO,45125853704,77874010630877,Valido,Valido
Jill Thomas,40,Amajari,RR,16319052368,58464513819191,Valido,Valido
Amy Clements,85,Aceguá,RS,51338781413,18628996459134,Valido,Valido
Sarah Long,66,Abdon Batista,SC,16838567679,97835660206687,Valido,Valido
Steven Chandler,49,Amparo De São Francisco,SE,30512802165,36186906692059,Valido,Valido
Jason Johnson,46,Adamantina,SP,96960493315,29861783977124,Valido,Valido
Madison Brown,70,Abreulândia,TO,17247779470,10434083128900,Valido,Valido
Eric Harvey,37,Acrelândia,AC,71227421567,78714018703810,Valido,Valido
Timothy Brennan,18,Água Branca,AL,23032501610,77109203308603,Valido,Valido
Nancy Delgado,65,Alvarães,AM,14547824126,18136599439624,Valido,Valido
Michael Miller,32,Serra Do Navio,AP,52308337184,06149558176315,Valido,Valido
Elizabeth Watts,44,Abaíra,BA,45483968026,81882095282260,Valido,Valido
Brandy Rangel,28,Abaiara,CE,76866018706,63262979824067,Valido,Valido
Ralph Arnold,41,Brasília,DF,13949329790,32749286945373,Valido,Valido
Julia Glenn,79,Afonso Cláudio,ES,15556708576,80278835780800,Valido,Valido
Mary White,67,Abadia De Goiás,GO,96102881974,22174778960633,Valido,Valido
Adam Hale,83,Açailândia,MA,98906596383,56401076650390,Valido,Valido
Philip Phelps,22,Abadia Dos Dourados,MG,19668301811,80214727967192,Valido,Valido
Rickey Osborn,59,Água Clara,MS,61985828928,53142060606844,Valido,Valido
Alexis Roberson,89,Acorizal,MT,88362204109,22053725154579,Valido,Valido
Jacob Gray,22,Abaetetuba,PA,12249213720,77036841073903,Valido,Valido
Nicholas Rosales,76,Água Branca,PB,75135355235,21392961306241,Valido,Valido
Victoria Macdonald,41,Abreu E Lima,PE,68457997920,14850896191617,Valido,Valido
Rebecca Parker,46,Acauã,PI,78944653720,30705091666413,Valido,Valido
Rhonda Wang,80,Abatiá,PR,57018995000,57007303794958,Valido,Valido
Megan Cox,29,Angra Dos Reis,RJ,09280244906,11862838974210,Valido,Valido
Susan Phillips,27,Acari,RN,85593885249,35118833934961,Valido,Valido
Cynthia Jackson,20,Alta Floresta D'oeste,RO,55306618154,98221862158958,Valido,Valido
Megan Arnold,41,Amajari,RR,70944093469,03339494423197,Valido,Valido
Wendy Baker,60,Aceguá,RS,19952620721,83621300697809,Valido,Valido
Erin Bullock,25,Abdon Batista,SC,11593480571,31182822370174,Valido,Valido
Christopher Bryant,53,Amparo De São Francisco,SE,01302538470,69878832563343,Valido,Valido
Rhonda Munoz,36,Adamantina,SP,00443698244,81565803262394,Valido,Valido
Christopher Yates,90,Abreulândia,TO,62215209917,39060225098713,Valido,Valido
Taylor Wood,83,Acrelândia,AC,33368309315,55799722846847,Valido,Valido
Joyce Waters,58,Água Branca,AL,70128984619,23545895415434,Valido,Valido
Philip Davis,86,Alvarães,AM,67018070201,44089700516737,Valido,Valido
Brian Tran,33,Serra Do Navio,AP,90879848120,33159972844089,Valido,Valido
Kevin Walker,34,Abaíra,BA,82375286200,45254081118438,Valido,Valido
Frank Trevino,31,Abaiara,CE,40857244361,82107261209133,Valido,Valido
Joel Brooks,84,Brasília,DF,08376598333,56240245087165,Valido,Valido
Taylor James,56,Afonso Cláudio,ES,20372740090,99258310472509,Valido,Valido
Eric Cox,56,Abadia De Goiás,GO,38366797015,67574161449949,Valido,Valido
Barbara Rosales,48,Açailândia,MA,05422320905,83117515951181,Valido,Valido
Paul Evans,34,Abadia Dos Dourados,MG,86399364477,26668944095754,Valido,Valido
Steven Gallegos,62,Água Clara,MS,45396429445,56067411199052,Valido,Valido
Erika Garcia,77,Acorizal,MT,36463101206,42809235036017,Valido,Valido
Wanda Scott,50,Abaetetuba,PA,69046164152,53581043795274,Valido,Valido
Nicole Pena,53,Água Branca,PB,42123967939,86840466524535,Valido,Valido
Matthew Noble,61,Abreu E Lima,PE,15188007509,94800282088494,Valido,Valido
Amanda Russo,33,Acauã,PI,53178307702,11674134008008,Valido,Valido
Mckenzie Thompson,27,Abatiá,PR,95705928009,07558158609613,Valido,Valido
Tyrone James,43,Angra Dos Reis,RJ,51845397940,51700907811259,Valido,Valido
David Martin,89,Acari,RN,29559108484,10404188283989,Valido,Valido
Kristina Jones,29,Alta Floresta D'oeste,RO,75949371550,92562422789970,Valido,Valido
Miranda Mejia,69,Amajari,RR,05196213872,31212769257050,Valido,Valido
Matthew Ellis,40,Aceguá,RS,30858895315,72586295941741,Valido,Valido
Caroline Gonzales,49,Abdon Batista,SC,81569865639,27693596692825,Valido,Valido
Steven Salas,30,Amparo De São Francisco,SE,49585751704,47899512077580,Valido,Valido
Christina Scott,65,Adamantina,SP,83068534402,65336468966883,Valido,Valido
Alyssa Bullock,70,Abreulândia,TO,55836292825,80313623914791,Valido,Valido
Darrell Dawson,47,Acrelândia,AC,22913866549,99435988989563,Valido,Valido
Roger Davis,58,Água Branca,AL,38660282701,90683622050682,Valido,Valido
Jamie Parks,80,Alvarães,AM,05387389010,47941774857227,Valido,Valido
Brittney Clayton,47,Serra Do Navio,AP,35448687415,90682668020699,Valido,Valido
Gregory Reynolds,56,Abaíra,BA,46704391207,37882548462590,Valido,Valido
Mitchell Warren,42,Abaiara,CE,44625291976,11296239276598,Valido,Valido
Tara Foster,58,Brasília,DF,59695276458,72143881365036,Valido,Valido
Rodney Hamilton,45,Afonso Cláudio,ES,96636887770,22449322085630,Valido,Valido
Joseph Robinson,50,Abadia De Goiás,GO,02027985263,27752923428342,Valido,Valido
Robert Jones,57,Açailândia,MA,84613955149,12054337113950,Valido,Valido
Audrey Jones,33,Abadia Dos Dourados,MG,74804400141,26494296468385,Valido,Valido
Courtney Lane,73,Água Clara,MS,57246039856,88289040894490,Valido,Valido
Steven Cobb,49,Acorizal,MT,20752723529,97339398932666,Valido,Valido
Jessica Hale,31,Abaetetuba,PA,54628154333,72523503121103,Valido,Valido
David Velasquez,58,Água Branca,PB,16130732163,99462230624184,Valido,Valido
William Bryan,22,Abreu E Lima,PE,02560515342,88762394885176,Valido,Valido
Ashley Bailey,25,Acauã,PI,40266649610,79081699213107,Valido,Valido
Jonathan Johnson,52,Abatiá,PR,54219195017,43791922727603,Valido,Valido
Amy Waters,18,Angra Dos Reis,RJ,00704971097,39921842050216,Valido,Valido
Jared Johnson,19,Acari,RN,95927363326,26823615360906,Valido,Valido
Jillian Barker,32,Alta Floresta D'oeste,RO,90122146964,23180556224485,Valido,Valido
Brianna Green,66,Amajari,RR,80307251756,64725611097833,Valido,Valido
Jackson Munoz,40,Aceguá,RS,33515667865,90819632199310,Valido,Valido
James Rivera,82,Abdon Batista,SC,71664982426,09224010616534,Valido,Valido
Brian Sanchez,73,Amparo De São Francisco,SE,34844409883,85892739065749,Valido,Valido
Dylan Osborn,22,Adamantina,SP,67163462956,99937815902014,Valido,Valido
John Davis,32,Abreulândia,TO,98437832128,80350322967696,Valido,Valido
Todd Mitchell,42,Acrelândia,AC,76309031465,75192808213293,Valido,Valido
Kelly Leonard,56,Água Branca,AL,53124275780,54808359393412,Valido,Valido
Dominic Davis,48,Alvarães,AM,93417045371,89199268850080,Valido,Valido
Wendy Nolan,65,Serra Do Navio,AP,43377286357,72697470322369,Valido,Valido
James Vargas,19,Abaíra,BA,32452983314,82598207829861,Valido,Valido
Leslie Cox,55,Abaiara,CE,35215276625,36504893913635,Valido,Valido
John Wilkinson,41,Brasília,DF,32085575153,26948222362620,Valido,Valido
Michael Hebert,62,Afonso Cláudio,ES,76207409108,59381963328600,Valido,Valido
Robert Huff,36,Abadia De Goiás,GO,98322702949,11220625292020,Valido,Valido
Christopher Ramos,43,Açailândia,MA,59595543993,95278659160401,Valido,Valido
Sydney Powell,39,Abadia Dos Dourados,MG,60916767922,40544314631757,Valido,Valido
Glenda Adkins,60,Água Clara,MS,49336181009,59572726826147,Valido,Valido
Jorge Shepherd,27,Acorizal,MT,15424304451,14391609400320,Valido,Valido
Hannah Morales,82,Abaetetuba,PA,17809279084,70747668050953,Valido,Valido
Kristina Miller,21,Água Branca,PB,97440304292,29016925713338,Valido,Valido
Frank Harris,53,Abreu E Lima,PE,73183302250,14583694136043,Valido,Valido
Bonnie Krause,28,Acauã,PI,72899823477,13690188249456,Valido,Valido
Colleen Rowland,88,Abatiá,PR,20059017090,95017970237114,Valido,Valido
James Anderson,51,Angra Dos Reis,RJ,00880914068,73976326139040,Valido,Valido
Timothy Kelly,28,Acari,RN,04240394783,99852819782770,Valido,Valido
John Thompson,70,Alta Floresta D'oeste,RO,19893893097,51328202271711,Valido,Valido
Thomas Sanchez,62,Amajari,RR,37240000494,87356335401030,Valido,Valido
Tanya Rice,63,Aceguá,RS,27822054392,10617061767473,Valido,Valido
Michael Robertson,39,Abdon Batista,SC,15673711670,91743338382709,Valido,Valido
Megan Martinez,68,Amparo De São Francisco,SE,34217182457,54170682084028,Valido,Valido
Stephanie Bennett,59,Adamantina,SP,49421449819,54548886814554,Valido,Valido
Tracie Hanson,37,Abreulândia,TO,77917783006,31027148726195,Valido,Valido
Johnny Hunter,22,Acrelândia,AC,77416059844,53387252851882,Valido,Valido
James Stone,58,Água Branca,AL,02121765280,85854721283822,Valido,Valido
Pamela Williams,53,Alvarães,AM,70758320507,07869539292580,Valido,Valido
Rebecca Mitchell,42,Serra Do Navio,AP,70407013679,90535444570727,Valido,Valido
Angela Perez,20,Abaíra,BA,91260036944,47871542119338,Valido,Valido
Kathryn Moss,18,Abaiara,CE,72400213194,60995358556318,Valido,Valido
George Murphy,24,Brasília,DF,38874328192,43274869429990,Valido,Valido
Juan Morgan,72,Afonso Cláudio,ES,33682518053,38644033570326,Valido,Valido
Timothy Frazier,32,Abadia De Goiás,GO,48539001284,10284614407042,Valido,Valido
Kelsey Marshall,36,Açailândia,MA,01968454918,69307435514884,Valido,Valido
Julie Garrison,43,Abadia Dos Dourados,MG,22121860886,29964984753984,Valido,Valido
Kathryn Silva,85,Água Clara,MS,22380710597,71805977641774,Valido,Valido
Paul Zimmerman,19,Acorizal,MT,41458334651,79814288061227,Valido,Valido
Wayne Bradford,55,Abaetetuba,PA,51421599856,96435041967838,Valido,Valido
